PERMNO,date,TICKER,COMNAM,PRC,VOL,SHROUT,OPENPRC
21413,2022-04-26,METV,LISTED FUNDS TRUST,9.63000,1008295,63750,10.01000
21413,2022-04-27,METV,LISTED FUNDS TRUST,9.47000,825276,63750,9.54000
21413,2022-04-28,METV,LISTED FUNDS TRUST,9.94000,785633,63750,9.77000
21413,2022-04-29,METV,LISTED FUNDS TRUST,9.60000,594323,63600,9.79000
21413,2022-05-02,METV,LISTED FUNDS TRUST,9.89000,458515,63600,9.57000
21413,2022-05-03,METV,LISTED FUNDS TRUST,9.87000,427558,63600,9.86000
21413,2022-05-04,METV,LISTED FUNDS TRUST,10.19000,643393,63600,9.87000
21413,2022-05-05,METV,LISTED FUNDS TRUST,9.56000,606939,63600,10.07000
21413,2022-05-06,METV,LISTED FUNDS TRUST,9.25000,605920,63600,9.43000
21413,2022-05-09,METV,LISTED FUNDS TRUST,8.65000,1014860,63600,9.00000
21413,2022-05-10,METV,LISTED FUNDS TRUST,8.63000,2475298,63600,8.87800
21413,2022-05-11,METV,LISTED FUNDS TRUST,8.24000,902802,63600,8.39000
21413,2022-05-12,METV,LISTED FUNDS TRUST,8.42000,1408279,63600,8.07000
21413,2022-05-13,METV,LISTED FUNDS TRUST,8.99000,532062,63600,8.63000
21413,2022-05-16,METV,LISTED FUNDS TRUST,8.81000,404983,63600,8.91000
21413,2022-05-17,METV,LISTED FUNDS TRUST,9.11000,444752,63600,9.03000
21413,2022-05-18,METV,LISTED FUNDS TRUST,8.76000,563532,63600,8.97000
21413,2022-05-19,METV,LISTED FUNDS TRUST,8.88000,547759,63600,8.72000
21413,2022-05-20,METV,LISTED FUNDS TRUST,8.81000,340517,63600,9.07000
21413,2022-05-23,METV,LISTED FUNDS TRUST,8.83000,289295,63600,8.86000
21413,2022-05-24,METV,LISTED FUNDS TRUST,8.32000,669460,63600,8.53000
21413,2022-05-25,METV,LISTED FUNDS TRUST,8.52000,329843,63600,8.24000
21413,2022-05-26,METV,LISTED FUNDS TRUST,8.79000,513947,63600,8.54000
21413,2022-05-27,METV,LISTED FUNDS TRUST,9.11000,323121,63600,8.86000
21413,2022-05-31,METV,LISTED FUNDS TRUST,9.06000,530036,59750,9.12000
21413,2022-06-01,METV,LISTED FUNDS TRUST,8.92000,312078,59750,9.10000
21413,2022-06-02,METV,LISTED FUNDS TRUST,9.36000,278382,59750,8.91000
21413,2022-06-03,METV,LISTED FUNDS TRUST,9.02000,209317,59750,9.17000
21413,2022-06-06,METV,LISTED FUNDS TRUST,9.09000,296577,59750,9.16000
21413,2022-06-07,METV,LISTED FUNDS TRUST,9.19000,662379,59750,8.99000
21413,2022-06-08,METV,LISTED FUNDS TRUST,9.19000,193166,59750,9.12000
21413,2022-06-09,METV,LISTED FUNDS TRUST,8.82000,633272,59750,9.13000
21413,2022-06-10,METV,LISTED FUNDS TRUST,8.42000,490611,59750,8.63000
21413,2022-06-13,METV,LISTED FUNDS TRUST,7.92000,682048,59750,8.07000
21413,2022-06-14,METV,LISTED FUNDS TRUST,7.92000,453176,59750,8.00000
21413,2022-06-15,METV,LISTED FUNDS TRUST,8.21000,397215,59750,8.00000
21413,2022-06-16,METV,LISTED FUNDS TRUST,7.75000,390872,59750,7.95000
21413,2022-06-17,METV,LISTED FUNDS TRUST,7.91000,362425,59750,7.78000
21413,2022-06-21,METV,LISTED FUNDS TRUST,8.16000,426836,59750,8.06000
21413,2022-06-22,METV,LISTED FUNDS TRUST,8.16000,356690,59750,8.02000
21413,2022-06-23,METV,LISTED FUNDS TRUST,8.49000,274950,59750,8.21000
21413,2022-06-24,METV,LISTED FUNDS TRUST,8.86000,384278,59750,8.59000
21413,2022-06-27,METV,LISTED FUNDS TRUST,8.68000,262396,59750,8.87000
21413,2022-06-28,METV,LISTED FUNDS TRUST,8.32000,326981,59750,8.68000
21413,2022-06-29,METV,LISTED FUNDS TRUST,8.27000,204227,59750,8.30000
21413,2022-06-30,METV,LISTED FUNDS TRUST,8.03000,436219,58525,8.12000
21413,2022-07-01,METV,LISTED FUNDS TRUST,8.09000,279030,58525,8.01000
21413,2022-07-05,METV,LISTED FUNDS TRUST,8.48000,332624,58525,7.93000
21413,2022-07-06,METV,LISTED FUNDS TRUST,8.41000,436969,58525,8.44000
21413,2022-07-07,METV,LISTED FUNDS TRUST,8.74000,340134,58525,8.47000
21413,2022-07-08,METV,LISTED FUNDS TRUST,8.81000,174198,58525,8.64000
21413,2022-07-11,METV,LISTED FUNDS TRUST,8.44000,271979,58525,8.67000
21413,2022-07-12,METV,LISTED FUNDS TRUST,8.34000,165216,58525,8.46000
21413,2022-07-13,METV,LISTED FUNDS TRUST,8.20000,218170,58525,8.09000
21413,2022-07-14,METV,LISTED FUNDS TRUST,8.19000,207376,58525,8.15000
21413,2022-07-15,METV,LISTED FUNDS TRUST,8.39000,293581,58525,8.27000
21413,2022-07-18,METV,LISTED FUNDS TRUST,8.46000,255264,58525,8.51000
21413,2022-07-19,METV,LISTED FUNDS TRUST,8.77000,168691,58525,8.58000
21413,2022-07-20,METV,LISTED FUNDS TRUST,9.11000,410555,58525,8.78000
21413,2022-07-21,METV,LISTED FUNDS TRUST,9.26000,416523,58525,9.10000
21413,2022-07-22,METV,LISTED FUNDS TRUST,8.75000,436765,58525,9.09000
21413,2022-07-25,METV,LISTED FUNDS TRUST,8.67000,243366,58525,8.73000
21413,2022-07-26,METV,LISTED FUNDS TRUST,8.39000,177284,58525,8.59000
21413,2022-07-27,METV,LISTED FUNDS TRUST,8.82000,269421,58525,8.52000
21413,2022-07-28,METV,LISTED FUNDS TRUST,8.90000,253988,58525,8.77000
21413,2022-07-29,METV,LISTED FUNDS TRUST,8.99000,679554,57750,8.90000
21413,2022-08-01,METV,LISTED FUNDS TRUST,9.04000,452177,57750,8.92000
21413,2022-08-02,METV,LISTED FUNDS TRUST,9.11000,364899,57750,8.95000
21413,2022-08-03,METV,LISTED FUNDS TRUST,9.48000,405433,57750,9.19000
21413,2022-08-04,METV,LISTED FUNDS TRUST,9.63000,278422,57750,9.56000
21413,2022-08-05,METV,LISTED FUNDS TRUST,9.70000,464816,57750,9.49000
21413,2022-08-08,METV,LISTED FUNDS TRUST,9.67000,558996,57750,9.68000
21413,2022-08-09,METV,LISTED FUNDS TRUST,9.46000,258170,57750,9.57000
21413,2022-08-10,METV,LISTED FUNDS TRUST,9.85000,635626,57750,9.67000
21413,2022-08-11,METV,LISTED FUNDS TRUST,9.85000,585875,57750,9.96000
21413,2022-08-12,METV,LISTED FUNDS TRUST,10.13000,408777,57750,9.93000
21413,2022-08-15,METV,LISTED FUNDS TRUST,10.08000,352654,57750,10.10000
21413,2022-08-16,METV,LISTED FUNDS TRUST,9.98000,314884,57750,10.06000
21413,2022-08-17,METV,LISTED FUNDS TRUST,9.75000,371606,57750,9.84000
21413,2022-08-18,METV,LISTED FUNDS TRUST,9.72000,269842,57750,9.73000
21413,2022-08-19,METV,LISTED FUNDS TRUST,9.35000,359069,57750,9.55000
21413,2022-08-22,METV,LISTED FUNDS TRUST,9.03000,374959,57750,9.16000
21413,2022-08-23,METV,LISTED FUNDS TRUST,8.99000,238661,57750,9.02000
21413,2022-08-24,METV,LISTED FUNDS TRUST,9.04000,280259,57750,8.97000
21413,2022-08-25,METV,LISTED FUNDS TRUST,9.28000,241189,57750,9.13000
21413,2022-08-26,METV,LISTED FUNDS TRUST,8.83000,329603,57750,9.30000
21413,2022-08-29,METV,LISTED FUNDS TRUST,8.70000,267791,57750,8.70000
21413,2022-08-30,METV,LISTED FUNDS TRUST,8.60000,284469,57750,8.79000
21413,2022-08-31,METV,LISTED FUNDS TRUST,8.62000,233293,56700,8.70000
21413,2022-09-01,METV,LISTED FUNDS TRUST,8.50000,242965,56700,8.49000
21413,2022-09-02,METV,LISTED FUNDS TRUST,8.37000,186167,56700,8.60000
21413,2022-09-06,METV,LISTED FUNDS TRUST,8.23000,223242,56700,8.38000
21413,2022-09-07,METV,LISTED FUNDS TRUST,8.44000,188569,56700,8.22000
21413,2022-09-08,METV,LISTED FUNDS TRUST,8.57000,245944,56700,8.33000
21413,2022-09-09,METV,LISTED FUNDS TRUST,8.90000,577522,56700,8.69000
21413,2022-09-12,METV,LISTED FUNDS TRUST,9.04000,232554,56700,8.94000
21413,2022-09-13,METV,LISTED FUNDS TRUST,8.46000,411873,56700,8.65000
21413,2022-09-14,METV,LISTED FUNDS TRUST,8.52000,306690,56700,8.48000
21413,2022-09-15,METV,LISTED FUNDS TRUST,8.38000,347143,56700,8.45000
21413,2022-09-16,METV,LISTED FUNDS TRUST,8.14000,286468,56700,8.24000
21413,2022-09-19,METV,LISTED FUNDS TRUST,8.15000,192032,56700,8.06000
21413,2022-09-20,METV,LISTED FUNDS TRUST,8.04000,194147,56700,8.10000
21413,2022-09-21,METV,LISTED FUNDS TRUST,7.91000,227217,56700,8.05000
21413,2022-09-22,METV,LISTED FUNDS TRUST,7.75000,297195,56700,7.89000
21413,2022-09-23,METV,LISTED FUNDS TRUST,7.61000,422809,56700,7.62000
21413,2022-09-26,METV,LISTED FUNDS TRUST,7.56000,396591,56700,7.60000
21413,2022-09-27,METV,LISTED FUNDS TRUST,7.60000,483421,56700,7.65000
21413,2022-09-28,METV,LISTED FUNDS TRUST,7.76000,251439,56700,7.55000
21413,2022-09-29,METV,LISTED FUNDS TRUST,7.46000,314076,56700,7.64000
21413,2022-09-30,METV,LISTED FUNDS TRUST,7.39000,326820,55575,7.43800
21413,2022-10-03,METV,LISTED FUNDS TRUST,7.59000,350093,55575,7.43000
21413,2022-10-04,METV,LISTED FUNDS TRUST,7.95000,338078,55575,7.77000
21413,2022-10-05,METV,LISTED FUNDS TRUST,7.90000,277236,55575,7.80000
21413,2022-10-06,METV,LISTED FUNDS TRUST,7.93000,248736,55575,7.91000
21413,2022-10-07,METV,LISTED FUNDS TRUST,7.52000,209677,55575,7.76000
21413,2022-10-10,METV,LISTED FUNDS TRUST,7.38000,227441,55575,7.49000
21413,2022-10-11,METV,LISTED FUNDS TRUST,7.24000,347789,55575,7.27000
21413,2022-10-12,METV,LISTED FUNDS TRUST,7.27000,257060,55575,7.24000
21413,2022-10-13,METV,LISTED FUNDS TRUST,7.38000,466820,55575,7.01000
21413,2022-10-14,METV,LISTED FUNDS TRUST,7.10000,316783,55575,7.50000
21413,2022-10-17,METV,LISTED FUNDS TRUST,7.47000,295119,55575,7.35000
21413,2022-10-18,METV,LISTED FUNDS TRUST,7.50000,307911,55575,7.69000
21413,2022-10-19,METV,LISTED FUNDS TRUST,7.37000,166417,55575,7.45800
21413,2022-10-20,METV,LISTED FUNDS TRUST,7.38000,179439,55575,7.35000
